Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,033059,1931,02,157.5,Y
IDCJAC0001,033059,1931,03,162.8,Y
IDCJAC0001,033059,1931,04,19.1,Y
IDCJAC0001,033059,1931,05,35.6,Y
IDCJAC0001,033059,1931,06,3.3,Y
IDCJAC0001,033059,1931,07,14.0,Y
IDCJAC0001,033059,1931,08,0.0,Y
IDCJAC0001,033059,1931,09,13.2,Y
IDCJAC0001,033059,1931,10,27.5,Y
IDCJAC0001,033059,1931,11,91.2,Y
IDCJAC0001,033059,1931,12,356.2,Y
IDCJAC0001,033059,1932,01,726.1,Y
IDCJAC0001,033059,1932,02,82.1,Y
IDCJAC0001,033059,1932,03,25.7,Y
IDCJAC0001,033059,1932,04,91.3,Y
IDCJAC0001,033059,1932,05,87.8,Y
IDCJAC0001,033059,1932,06,18.3,Y
IDCJAC0001,033059,1932,07,0.0,Y
IDCJAC0001,033059,1932,08,0.0,Y
IDCJAC0001,033059,1932,09,26.4,Y
IDCJAC0001,033059,1932,10,24.1,Y
IDCJAC0001,033059,1932,11,80.1,Y
IDCJAC0001,033059,1932,12,299.4,Y
IDCJAC0001,033059,1933,01,129.8,Y
IDCJAC0001,033059,1933,02,374.1,Y
IDCJAC0001,033059,1933,03,52.6,Y
IDCJAC0001,033059,1933,04,80.5,Y
IDCJAC0001,033059,1933,05,46.2,Y
IDCJAC0001,033059,1933,06,79.0,Y
IDCJAC0001,033059,1933,07,267.9,Y
IDCJAC0001,033059,1933,08,63.0,Y
IDCJAC0001,033059,1933,09,79.6,Y
IDCJAC0001,033059,1933,10,25.4,Y
IDCJAC0001,033059,1933,11,371.9,Y
IDCJAC0001,033059,1933,12,133.4,Y
IDCJAC0001,033059,1934,01,144.2,Y
IDCJAC0001,033059,1934,02,292.5,Y
IDCJAC0001,033059,1934,03,97.1,Y
IDCJAC0001,033059,1934,04,68.0,Y
IDCJAC0001,033059,1934,05,72.4,Y
IDCJAC0001,033059,1934,06,30.0,Y
IDCJAC0001,033059,1934,07,12.2,Y
IDCJAC0001,033059,1934,08,5.8,Y
IDCJAC0001,033059,1934,09,20.4,Y
IDCJAC0001,033059,1934,10,26.7,Y
IDCJAC0001,033059,1934,11,110.9,Y
IDCJAC0001,033059,1934,12,145.3,Y
IDCJAC0001,033059,1935,01,89.2,Y
IDCJAC0001,033059,1935,02,195.4,Y
IDCJAC0001,033059,1935,03,102.6,Y
IDCJAC0001,033059,1935,04,84.8,Y
IDCJAC0001,033059,1935,05,107.3,Y
IDCJAC0001,033059,1935,06,17.0,Y
IDCJAC0001,033059,1935,07,43.7,Y
IDCJAC0001,033059,1935,08,26.7,Y
IDCJAC0001,033059,1935,09,81.0,Y
IDCJAC0001,033059,1935,10,75.0,Y
IDCJAC0001,033059,1935,11,55.8,Y
IDCJAC0001,033059,1935,12,82.5,Y
IDCJAC0001,033059,1936,01,244.7,Y
IDCJAC0001,033059,1936,02,997.6,Y
IDCJAC0001,033059,1936,03,710.0,Y
IDCJAC0001,033059,1936,04,8.9,Y
IDCJAC0001,033059,1936,05,46.0,Y
IDCJAC0001,033059,1936,06,251.0,Y
IDCJAC0001,033059,1936,07,0.0,Y
IDCJAC0001,033059,1936,08,0.0,Y
IDCJAC0001,033059,1936,09,33.5,Y
IDCJAC0001,033059,1936,10,0.0,Y
IDCJAC0001,033059,1936,11,8.1,Y
