Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,044021,1983,12,56.6,Y
IDCJAC0001,044021,1984,01,164.0,Y
IDCJAC0001,044021,1984,02,13.8,Y
IDCJAC0001,044021,1984,03,29.6,Y
IDCJAC0001,044021,1984,04,18.8,Y
IDCJAC0001,044021,1984,05,1.0,Y
IDCJAC0001,044021,1984,06,12.0,Y
IDCJAC0001,044021,1984,07,99.4,Y
IDCJAC0001,044021,1984,08,4.4,Y
IDCJAC0001,044021,1984,09,8.0,Y
IDCJAC0001,044021,1984,10,30.2,Y
IDCJAC0001,044021,1984,11,19.8,Y
IDCJAC0001,044021,1984,12,41.6,Y
IDCJAC0001,044021,1985,01,24.4,Y
IDCJAC0001,044021,1985,02,43.8,Y
IDCJAC0001,044021,1985,03,1.0,Y
IDCJAC0001,044021,1985,04,8.4,Y
IDCJAC0001,044021,1985,05,3.6,Y
IDCJAC0001,044021,1985,06,15.2,Y
IDCJAC0001,044021,1985,07,24.6,Y
IDCJAC0001,044021,1985,08,37.4,Y
IDCJAC0001,044021,1985,09,7.6,Y
IDCJAC0001,044021,1985,10,35.6,Y
IDCJAC0001,044021,1985,11,158.2,Y
IDCJAC0001,044021,1985,12,59.0,Y
IDCJAC0001,044021,1986,01,33.4,Y
IDCJAC0001,044021,1986,02,106.0,Y
IDCJAC0001,044021,1986,03,0.0,Y
IDCJAC0001,044021,1986,04,23.4,Y
IDCJAC0001,044021,1986,05,65.4,Y
IDCJAC0001,044021,1986,06,9.6,Y
IDCJAC0001,044021,1986,07,51.4,Y
IDCJAC0001,044021,1986,08,29.4,Y
IDCJAC0001,044021,1986,09,23.4,Y
IDCJAC0001,044021,1986,10,25.6,Y
IDCJAC0001,044021,1986,11,77.4,Y
IDCJAC0001,044021,1986,12,39.8,Y
IDCJAC0001,044021,1987,01,171.6,Y
IDCJAC0001,044021,1987,02,62.2,Y
IDCJAC0001,044021,1987,03,79.6,Y
IDCJAC0001,044021,1987,04,9.6,Y
IDCJAC0001,044021,1987,05,14.2,Y
IDCJAC0001,044021,1987,06,84.2,Y
IDCJAC0001,044021,1987,07,15.6,Y
IDCJAC0001,044021,1987,08,33.6,Y
IDCJAC0001,044021,1987,09,8.0,Y
IDCJAC0001,044021,1987,10,43.8,Y
IDCJAC0001,044021,1987,11,49.6,Y
IDCJAC0001,044021,1987,12,43.0,Y
IDCJAC0001,044021,1988,01,18.4,Y
IDCJAC0001,044021,1988,02,49.6,Y
IDCJAC0001,044021,1988,03,13.4,Y
IDCJAC0001,044021,1988,04,44.2,Y
IDCJAC0001,044021,1988,05,18.6,Y
IDCJAC0001,044021,1988,06,5.0,Y
IDCJAC0001,044021,1988,07,67.4,Y
IDCJAC0001,044021,1988,08,38.2,Y
IDCJAC0001,044021,1988,09,35.4,Y
IDCJAC0001,044021,1988,10,7.4,Y
IDCJAC0001,044021,1988,11,27.2,Y
IDCJAC0001,044021,1988,12,49.4,Y
IDCJAC0001,044021,1989,01,4.6,Y
IDCJAC0001,044021,1989,02,6.2,Y
IDCJAC0001,044021,1989,03,38.6,Y
IDCJAC0001,044021,1989,04,76.2,Y
IDCJAC0001,044021,1989,05,199.2,Y
IDCJAC0001,044021,1989,06,45.0,Y
IDCJAC0001,044021,1989,07,14.8,Y
IDCJAC0001,044021,1989,08,2.2,Y
IDCJAC0001,044021,1989,09,1.2,Y
IDCJAC0001,044021,1989,10,48.4,Y
IDCJAC0001,044021,1989,11,7.2,Y
IDCJAC0001,044021,1989,12,71.8,Y
IDCJAC0001,044021,1990,01,22.0,Y
IDCJAC0001,044021,1990,02,69.8,Y
IDCJAC0001,044021,1990,03,65.6,Y
IDCJAC0001,044021,1990,04,248.0,Y
